"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","CZ","Czechia",18287.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","DE","Germany",62548.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","DK","Denmark",3720.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","EE","Estonia",268.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","ES","Spain",5548.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","EU27_21","EU (without UK)",141800.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","EU27_UK_21","EU (with UK until 2019)",214300.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","EUEEA30_21","EU/EEA (without UK)",144793.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","EUEEAUK_21","EU/EEA (with UK until 2019)",217293.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","FI","Finland",4251.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","FR","France",5079.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","HR","Croatia",0.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","HU","Hungary",6367.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","IE","Ireland",2391.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","IS","Iceland",60.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","IT","Italy",774.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","LT","Lithuania",917.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","LU","Luxembourg",581.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","LV","Latvia",8.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","MT","Malta",220.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","NL","Netherlands",4248.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","NO","Norway",2933.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","PL","Poland",431.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","RO","Romania",92.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","SE","Sweden",7901.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","SI","Slovenia",983.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","SK","Slovakia",5704.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","UK","United Kingdom",72500.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","AT","Austria",5731.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","BE","Belgium",8148.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","BG","Bulgaria",124.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","CY","Cyprus",56.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","CZ","Czechia",18267.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","DE","Germany",63280.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2013","DK","Denmark",3772.000000000,""
